MS-DRG ,Surg DRG,Reimbursement Type,Case Rate LOS,Addt'l Per Diem,MS-DRG Title,Relative Weights,Geometric Mean LOS,Arithmetic Mean LOS,Medicare,Aetna Medicare 100% Medicare,Blue Access,Blue Access Choice,Blue Preferred,Blue Pathway,Blue Pathway X,Blue Traditional,Cigna,Care Improvement Plus (UHC Medicare)  Medicare Rate per Matrix,Health Scope 110% of Medicare Rate per Matrix,"UHC
Commercial",Consociate Heatlh 130% Medicare (2021) Rates,MO State Avg Chgs (4% Increase),MO State Avg Pay (4% Increase),National Avg Chgs (4% Increase),National Avg Pay (4% Increase)
250,Surgery,,,,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2.666,4.1,5.5,19151.53092,19151.53092,17491.626,15732.066,15732.066,15732.066,15732.066,17491.626,31898.69,19151.53092,21066.68401,29987.168,24896.9902,91423.08445,17910.13333,106129.1278,19954.74456
251,Surgery,,,,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1.7348,2.2,2.7,12462.14398,12462.14398,11382.0228,10237.0548,10237.0548,10237.0548,10237.0548,11382.0228,20756.882,12462.14398,13708.35837,19513.0304,16200.78717,61358.5019,11472.41952,75074.75881,12928.02532
252,Surgery,,,,OTHER VASCULAR PROCEDURES W MCC,4.0953,7.4,9.9,29419.07899,29419.07899,26869.2633,24166.3653,24166.3653,24166.3653,24166.3653,26869.2633,49000.2645,29419.07899,32360.98688,46063.9344,38244.80268,96996.80712,23187.25636,120137.7665,26978.4624
253,Surgery,,,,OTHER VASCULAR PROCEDURES W CC,2.5787,4,5.4,18524.40089,18524.40089,16918.8507,15216.9087,15216.9087,15216.9087,15216.9087,16918.8507,30854.1455,18524.40089,20376.84098,29005.2176,24081.72116,80954.80436,17551.32218,97561.2312,20538.48007
254,Surgery,,,,OTHER VASCULAR PROCEDURES W/O CC/MCC,1.88,2.3,2.9,13505.2056,13505.2056,12334.68,11093.88,11093.88,11093.88,11093.88,12334.68,22494.2,13505.2056,14855.72616,21146.24,17556.76728,60622.03564,12538.8597,68678.97686,14286.13077
255,Surgery,,,,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,3.3176,8.5,10.6,23832.37771,23832.37771,21766.7736,19577.1576,19577.1576,19577.1576,19577.1576,21766.7736,39695.084,23832.37771,26215.61548,37316.3648,30982.09103,53500.15784,16036.71568,85881.32041,19198.8635
256,Surgery,,,,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,1.8873,5.2,6.3,13557.64603,13557.64603,12382.5753,11136.9573,11136.9573,11136.9573,11136.9573,12382.5753,22581.5445,13557.64603,14913.41063,21228.3504,17624.93983,47911.24,11504.97739,56756.19301,13501.1824
257,Surgery,,,,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,1.1851,3.7,4.5,8513.308062,8513.308062,7775.4411,6993.2751,6993.2751,6993.2751,6993.2751,7775.4411,14179.7215,8513.308062,9364.638868,13330.0048,11067.30048,,,37099.18415,9798.909434
258,Surgery,,,,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,3.1115,5.1,6.5,22351.83363,22351.83363,20414.5515,18360.9615,18360.9615,18360.9615,18360.9615,20414.5515,37229.0975,22351.83363,24587.01699,34998.152,29057.38372,79212.78857,20950.8,109563.0743,24711.60132
259,Surgery,,,,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,2.1125,2.7,3.3,15175.39725,15175.39725,13860.1125,12465.8625,12465.8625,12465.8625,12465.8625,13860.1125,25276.0625,15175.39725,16692.93698,23761.4,19728.01643,78652.96592,13868.24592,75286.72862,15955.04438
260,Surgery,,,,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,3.7934,7,9.5,27250.34411,27250.34411,24888.4974,22384.8534,22384.8534,22384.8534,22384.8534,24888.4974,45388.031,27250.34411,29975.37852,42668.1632,35425.44734,119911.4176,30462.16854,137373.0536,31543.6803
261,Surgery,,,,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,1.9996,3.2,4.1,14364.36655,14364.36655,13119.3756,11799.6396,11799.6396,11799.6396,11799.6396,13119.3756,23925.214,14364.36655,15800.80321,22491.5008,18673.67652,57104.29877,13324.86204,73846.33684,15574.34727
262,Surgery,,,,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,1.6657,2.3,2.7,11965.75583,11965.75583,10928.6577,9829.2957,9829.2957,9829.2957,9829.2957,10928.6577,19930.1005,11965.75583,13162.33142,18735.7936,15555.48258,54984.58105,11403.92842,62253.34984,12664.59526
263,Surgery,,,,VEIN LIGATION & STRIPPING,2.3592,4.3,6.2,16947.5963,16947.5963,15478.7112,13921.6392,13921.6392,13921.6392,13921.6392,15478.7112,28227.828,16947.5963,18642.35593,26536.2816,22031.8752,,,88572.93391,19538.04398
264,Surgery,,,,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,3.2357,6.5,9.1,23244.03923,23244.03923,21229.4277,19093.8657,19093.8657,19093.8657,19093.8657,21229.4277,38715.1505,23244.03923,25568.44316,36395.1536,30217.251,104413.4973,23570.5306,119454.4641,27242.94312
265,Surgery,,,,AICD LEAD PROCEDURES,3.1415,3.8,5.4,22567.34223,22567.34223,20611.3815,18537.9915,18537.9915,18537.9915,18537.9915,20611.3815,37588.0475,22567.34223,24824.07645,35335.592,29337.5449,,,115023.5523,28330.29545
266,Surgery,,,,ENDOVASCULAR CARDIAC VALVE REPLACEMENT & SUPPLEMENT PROCEDURES W MCC,7.2195,3.6,5.8,51862.14459,51862.14459,47367.1395,42602.2695,42602.2695,42602.2695,42602.2695,47367.1395,86381.3175,51862.14459,57048.35905,81204.936,67420.78797,228253.7174,52763.5013,247783.243,59621.33325
267,Surgery,,,,ENDOVASCULAR CARDIAC VALVE REPLACEMENT & SUPPLEMENT PROCEDURES W/O MCC,5.7931,2,2.4,41615.42902,41615.42902,38008.5291,34185.0831,34185.0831,34185.0831,34185.0831,38008.5291,69314.4415,41615.42902,45776.97192,65160.7888,54100.05773,174902.0209,40383.58157,198949.6877,47951.59958
268,Surgery,,,,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,6.9719,6.8,9.7,50083.48028,50083.48028,45742.6359,41141.1819,41141.1819,41141.1819,41141.1819,45742.6359,83418.7835,50083.48028,55091.82831,78419.9312,65108.52436,181525.6826,47286.93487,247647.5476,56160.88993
269,Surgery,,,,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,4.3385,1.7,2.4,31166.13537,31166.13537,28464.8985,25601.4885,25601.4885,25601.4885,25601.4885,28464.8985,51910.1525,31166.13537,34282.74891,48799.448,40515.97598,126095.0149,27996.40468,138574.9483,31968.30174
270,Surgery,,,,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,5.2915,6.9,9.9,38012.12523,38012.12523,34717.5315,31225.1415,31225.1415,31225.1415,31225.1415,34717.5315,63312.7975,38012.12523,41813.33775,59518.792,49415.7628,163979.0889,37594.91334,190577.3076,41916.91351
271,Surgery,,,,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,3.7361,4.6,6.2,26838.72268,26838.72268,24512.5521,22046.7261,22046.7261,22046.7261,22046.7261,24512.5521,44702.4365,26838.72268,29522.59495,42023.6528,34890.33949,108558.7107,22343.15142,130303.6044,27133.46764
272,Surgery,,,,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,2.6675,2.2,2.9,19162.30635,19162.30635,17501.4675,15740.9175,15740.9175,15740.9175,15740.9175,17501.4675,31916.6375,19162.30635,21078.53699,30004.04,24910.99826,81869.0583,17319.96967,96335.39396,19799.247
273,Surgery,,,,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,3.7953,5,6.7,27263.99299,27263.99299,24900.9633,22396.0653,22396.0653,22396.0653,22396.0653,24900.9633,45410.7645,27263.99299,29990.39228,42689.5344,35443.19088,124390.1481,25957.1053,155128.4795,29982.46417
274,Surgery,,,,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,3.1775,1.7,2.3,22825.95255,22825.95255,20847.5775,18750.4275,18750.4275,18750.4275,18750.4275,20847.5775,38018.7875,22825.95255,25108.54781,35740.52,29673.73832,105478.0636,19292.29806,124287.3052,21702.9239
280,,,,,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1.6628,4.3,5.5,11944.92334,11944.92334,10909.6308,9812.1828,9812.1828,9812.1828,9812.1828,10909.6308,19895.402,11944.92334,13139.41567,18703.1744,15528.40034,50157.20504,11350.36809,57392.18825,12971.20379
281,,,,,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1.0257,2.7,3.3,7368.239034,7368.239034,6729.6177,6052.6557,6052.6557,6052.6557,6052.6557,6729.6177,12272.5005,7368.239034,8105.062937,11537.0736,9578.710744,33756.98172,7019.172049,38435.25828,8000.35508
282,,,,,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",0.7424,1.9,2.2,5333.119488,5333.119488,4870.8864,4380.9024,4380.9024,4380.9024,4380.9024,4870.8864,8882.816,5333.119488,5866.431437,8350.5152,6933.055334,29919.67314,5704.909714,31802.4737,6319.942043
283,,,,,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",1.8242,3,4.7,13104.3596,13104.3596,11968.5762,10764.6042,10764.6042,10764.6042,10764.6042,11968.5762,21826.553,13104.3596,14414.79556,20518.6016,17035.66749,54545.93664,12358.9648,69149.69378,14881.06539
284,,,,,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",0.7845,1.7,2.3,5635.54989,5635.54989,5147.1045,4629.3345,4629.3345,4629.3345,4629.3345,5147.1045,9386.5425,5635.54989,6199.104879,8824.056,7326.214857,27389.04552,5566.366896,28961.96132,6402.535385
285,,,,,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",0.5119,1.2,1.4,3677.295078,3677.295078,3358.5759,3020.7219,3020.7219,3020.7219,3020.7219,3358.5759,6124.8835,3677.295078,4045.024586,5757.8512,4780.483601,,,21491.77122,4810.894146
286,,,,,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2.25,5.5,7.2,16163.145,16163.145,14762.25,13277.25,13277.25,13277.25,13277.25,14762.25,26921.25,16163.145,17779.4595,25308,21012.0885,69226.15798,15929.56354,86179.49466,18794.95842
287,,,,,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",1.1767,2.4,3.1,8452.965654,8452.965654,7720.3287,6943.7067,6943.7067,6943.7067,6943.7067,7720.3287,14079.2155,8452.965654,9298.262219,13235.5216,10988.85535,41601.91059,8276.538007,51178.64293,9521.598813
288,,,,,ACUTE & SUBACUTE ENDOCARDITIS W MCC,2.4644,7,9,17703.31313,17703.31313,16168.9284,14542.4244,14542.4244,14542.4244,14542.4244,16168.9284,29486.546,17703.31313,19473.64444,27719.5712,23014.30707,61190.96372,18968.14884,86059.82914,21307.44349
289,,,,,ACUTE & SUBACUTE ENDOCARDITIS W CC,1.7682,5.3,6.8,12702.07688,12702.07688,11601.1602,10434.1482,10434.1482,10434.1482,10434.1482,11601.1602,21156.513,12702.07688,13972.28457,19888.7136,16512.69995,39832.94956,10281.80174,56690.54634,13563.45552
290,,,,,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC,0.9704,3.3,4.1,6970.984848,6970.984848,6366.7944,5726.3304,5726.3304,5726.3304,5726.3304,6366.7944,11610.836,6970.984848,7668.083333,10915.0592,9062.280302,,,36188.37576,9037.074748
291,,,,,HEART FAILURE & SHOCK W MCC,1.3499,4.1,5.2,9697.168638,9697.168638,8856.6939,7965.7599,7965.7599,7965.7599,7965.7599,8856.6939,16151.5535,9697.168638,10666.8855,15183.6752,12606.31923,36736.29095,9857.036782,45316.88913,11356.79846
292,,,,,HEART FAILURE & SHOCK W CC,0.9572,3.2,4,6876.161064,6876.161064,6280.1892,5648.4372,5648.4372,5648.4372,5648.4372,6280.1892,11452.898,6876.161064,7563.77717,10766.5856,8939.009383,25755.7971,6733.666635,31231.88313,7823.139124
293,,,,,HEART FAILURE & SHOCK W/O CC/MCC,0.6651,2.4,2.8,4777.825662,4777.825662,4363.7211,3924.7551,3924.7551,3924.7551,3924.7551,4363.7211,7957.9215,4777.825662,5255.608228,7481.0448,6211.173361,19879.29666,4844.357916,23292.26781,5622.262227
294,,,,,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,1.2891,4.1,5.1,9260.404542,9260.404542,8457.7851,7606.9791,7606.9791,7606.9791,7606.9791,8457.7851,15424.0815,9260.404542,10186.445,14499.7968,12038.5259,,,45688.10488,9262.788661
295,,,,,DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC,0.6697,2.7,3.2,4810.870314,4810.870314,4393.9017,3951.8997,3951.8997,3951.8997,3951.8997,4393.9017,8012.9605,4810.870314,5291.957345,7532.7856,6254.131408,,,24033.1153,6812.305883
296,,,,,"CARDIAC ARREST, UNEXPLAINED W MCC",1.5989,2.1,3.3,11485.89002,11485.89002,10490.3829,9435.1089,9435.1089,9435.1089,9435.1089,10490.3829,19130.8385,11485.89002,12634.47902,17984.4272,14931.65702,57313.88,10859.55394,62615.14426,12697.4044
297,,,,,"CARDIAC ARREST, UNEXPLAINED W CC",0.7864,1.4,1.9,5649.198768,5649.198768,5159.5704,4640.5464,4640.5464,4640.5464,4640.5464,5159.5704,9409.276,5649.198768,6214.118645,8845.4272,7343.958398,,,29541.25139,5889.431906
298,,,,,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",0.4917,1.1,1.2,3532.185954,3532.185954,3226.0437,2901.5217,2901.5217,2901.5217,2901.5217,3226.0437,5883.1905,3532.185954,3885.404549,5530.6416,4591.84174,,,20616.70804,4338.306392
299,,,,,PERIPHERAL VASCULAR DISORDERS W MCC,1.4666,3.8,5.2,10535.49709,10535.49709,9622.3626,8654.4066,8654.4066,8654.4066,8654.4066,9622.3626,17547.869,10535.49709,11589.0468,16496.3168,13696.14622,42968.78354,10312.70771,49979.35071,11780.50582
300,,,,,PERIPHERAL VASCULAR DISORDERS W CC,1.1037,3.3,4.2,7928.561394,7928.561394,7241.3757,6512.9337,6512.9337,6512.9337,6512.9337,7241.3757,13205.7705,7928.561394,8721.417533,12414.4176,10307.12981,28182.53235,7327.56544,35353.42258,8485.400097
301,,,,,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,0.738,2.3,2.8,5301.51156,5301.51156,4842.018,4354.938,4354.938,4354.938,4354.938,4842.018,8830.17,5301.51156,5831.662716,8301.024,6891.965028,20962.48287,5507.410299,26515.13387,6265.366457
302,,,,,ATHEROSCLEROSIS W MCC,1.1677,3,4.1,8388.313074,8388.313074,7661.2797,6890.5977,6890.5977,6890.5977,6890.5977,7661.2797,13971.5305,8388.313074,9227.144381,13134.2896,10904.807,32835.4849,7857.189388,40148.41085,9366.069847
303,,,,,ATHEROSCLEROSIS W/O MCC,0.6959,1.9,2.3,4999.081158,4999.081158,4565.7999,4106.5059,4106.5059,4106.5059,4106.5059,4565.7999,8326.4435,4999.081158,5498.989274,7827.4832,6498.805505,23114.29808,4997.97172,26480.67802,5787.312442
304,,,,,HYPERTENSION W MCC,1.1667,3.3,4.4,8381.129454,8381.129454,7654.7187,6884.6967,6884.6967,6884.6967,6884.6967,7654.7187,13959.5655,8381.129454,9219.242399,13123.0416,10895.46829,34195.94741,7935.45493,38911.05108,8999.322046
305,,,,,HYPERTENSION W/O MCC,0.7697,2.2,2.8,5529.232314,5529.232314,5050.0017,4541.9997,4541.9997,4541.9997,4541.9997,5050.0017,9209.4605,5529.232314,6082.155545,8657.5856,7188.002008,23921.68341,5071.430891,28342.42487,5898.855827
306,,,,,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,1.429,3.8,5.2,10265.39298,10265.39298,9375.669,8432.529,8432.529,8432.529,8432.529,9375.669,17097.985,10265.39298,11291.93228,16073.392,13345.01087,43240.22383,10909.7217,49869.87469,12353.16988
307,,,,,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,0.9157,2.4,3.2,6578.040834,6578.040834,6007.9077,5403.5457,5403.5457,5403.5457,5403.5457,6007.9077,10956.3505,6578.040834,7235.844917,10299.7936,8551.453084,26952.72548,6164.464658,33731.41172,7361.698927
308,,,,,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,1.2075,3.6,4.6,8674.22115,8674.22115,7922.4075,7125.4575,7125.4575,7125.4575,7125.4575,7922.4075,14447.7375,8674.22115,9541.643265,13581.96,11276.4875,34438.87802,8604.235561,41566.44189,9504.463629
309,,,,,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,0.8126,2.5,3.1,5837.409612,5837.409612,5331.4686,4795.1526,4795.1526,4795.1526,4795.1526,5331.4686,9722.759,5837.409612,6421.150573,9140.1248,7588.632496,23223.00627,5602.389329,27580.37713,6366.290988
310,,,,,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,0.5643,1.9,2.2,4053.716766,4053.716766,3702.3723,3329.9343,3329.9343,3329.9343,3329.9343,3702.3723,6751.8495,4053.716766,4459.088443,6347.2464,5269.831796,17409.10784,4230.658742,21112.82717,4759.166289
311,,,,,ANGINA PECTORIS,0.6832,1.9,2.4,4907.849184,4907.849184,4482.4752,4031.5632,4031.5632,4031.5632,4031.5632,4482.4752,8174.488,4907.849184,5398.634102,7684.6336,6380.203939,19999.04202,5085.257721,28538.11538,6010.409231
312,,,,,SYNCOPE & COLLAPSE,0.8133,2.3,2.9,5842.438146,5842.438146,5336.0613,4799.2833,4799.2833,4799.2833,4799.2833,5336.0613,9731.1345,5842.438146,6426.681961,9147.9984,7595.16959,27007.69656,5686.704895,32315.82838,6756.539171
313,,,,,CHEST PAIN,0.7124,1.7,2.1,5117.610888,5117.610888,4674.0564,4203.8724,4203.8724,4203.8724,4203.8724,4674.0564,8523.866,5117.610888,5629.371977,8013.0752,6652.894154,25341.50369,5110.033448,29251.92329,5995.980663
314,,,,,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,2.2735,5.6,7.4,16331.96007,16331.96007,14916.4335,13415.9235,13415.9235,13415.9235,13415.9235,14916.4335,27202.4275,16331.96007,17965.15608,25572.328,21231.54809,54575.37908,14125.03086,68634.32765,16366.39464
315,,,,,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,1.0863,2.8,3.6,7803.566406,7803.566406,7127.2143,6410.2563,6410.2563,6410.2563,6410.2563,7127.2143,12997.5795,7803.566406,8583.923047,12218.7024,10144.63633,31105.87464,7158.667382,36372.18906,8396.735788
316,,,,,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,0.7487,2,2.4,5378.376294,5378.376294,4912.2207,4418.0787,4418.0787,4418.0787,4418.0787,4912.2207,8958.1955,5378.376294,5916.213923,8421.3776,6991.889182,24918.72416,5351.988571,29597.47673,6461.110415
319,Surgery,,,,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES W MCC,4.2423,7.8,10.3,30475.07113,30475.07113,27833.7303,25033.8123,25033.8123,25033.8123,25033.8123,27833.7303,50759.1195,30475.07113,33522.57824,47717.3904,39617.59246,,,,
320,Surgery,,,,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES W/O MCC,2.4576,2.8,4.2,17654.46451,17654.46451,16124.3136,14502.2976,14502.2976,14502.2976,14502.2976,16124.3136,29405.184,17654.46451,19419.91096,27643.0848,22950.80387,,,,
326,Surgery,,,,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",5.5899,10.3,13.7,40155.71744,40155.71744,36675.3339,32985.9999,32985.9999,32985.9999,32985.9999,36675.3339,66883.1535,40155.71744,44171.28918,62875.1952,52202.43267,134280.2577,32603.33407,187290.3574,40719.60612
327,Surgery,,,,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2.7418,5.3,7.2,19696.04932,19696.04932,17988.9498,16179.3618,16179.3618,16179.3618,16179.3618,17988.9498,32805.637,19696.04932,21665.65425,30839.7664,25604.86411,74897.82967,17035.9138,98997.50513,19389.77575
328,Surgery,,,,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",1.648,2.4,3.1,11838.60576,11838.60576,10812.528,9724.848,9724.848,9724.848,9724.848,10812.528,19718.32,11838.60576,13022.46634,18536.704,15390.18749,48708.02181,10637.24764,62658.49817,12713.88265
329,Surgery,,,,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,5.1391,10.8,13.6,36917.34154,36917.34154,33717.6351,30325.8291,30325.8291,30325.8291,30325.8291,33717.6351,61489.3315,36917.34154,40609.0757,57804.5968,47992.544,126133.7393,33438.33437,168919.1085,39222.33453
330,Surgery,,,,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,2.7346,6.5,7.9,19644.32725,19644.32725,17941.7106,16136.8746,16136.8746,16136.8746,16136.8746,17941.7106,32719.489,19644.32725,21608.75998,30758.7808,25537.62543,69627.37081,16511.4867,90040.11411,19600.71795
331,Surgery,,,,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.7371,3.6,4.2,12478.6663,12478.6663,11397.1131,10250.6271,10250.6271,10250.6271,10250.6271,11397.1131,20784.4015,12478.6663,13726.53293,19538.9008,16222.26619,48235.68587,11634.34028,61412.59476,13470.48408
332,Surgery,,,,RECTAL RESECTION W MCC,4.3617,8.4,10.5,31332.79535,31332.79535,28617.1137,25738.3917,25738.3917,25738.3917,25738.3917,28617.1137,52187.7405,31332.79535,34466.07489,49060.4016,40732.63396,,,122508.8923,31373.58824
333,Surgery,,,,RECTAL RESECTION W CC,2.3405,4.5,5.9,16813.26261,16813.26261,15356.0205,13811.2905,13811.2905,13811.2905,13811.2905,15356.0205,28004.0825,16813.26261,18494.58887,26325.944,21857.24139,,,85413.61524,16643.55376
334,Surgery,,,,RECTAL RESECTION W/O CC/MCC,1.5863,2.8,3.3,11395.37641,11395.37641,10407.7143,9360.7563,9360.7563,9360.7563,9360.7563,10407.7143,18980.0795,11395.37641,12534.91405,17842.7024,14813.98933,48395.2,7880.560001,59179.87718,11153.02802
335,Surgery,,,,PERITONEAL ADHESIOLYSIS W MCC,4.2399,10,12.3,30457.83044,30457.83044,27817.9839,25019.6499,25019.6499,25019.6499,25019.6499,27817.9839,50730.4035,30457.83044,33503.61348,47690.3952,39595.17957,102672.6269,26216.98614,140766.1004,32090.05871
336,Surgery,,,,PERITONEAL ADHESIOLYSIS W CC,2.3516,6.4,7.8,16893.00079,16893.00079,15428.8476,13876.7916,13876.7916,13876.7916,13876.7916,15428.8476,28136.894,16893.00079,18582.30087,26450.7968,21960.90103,60664.81725,15999.85138,80928.66859,18408.98985
337,Surgery,,,,PERITONEAL ADHESIOLYSIS W/O CC/MCC,1.6756,3.9,4.8,12036.87367,12036.87367,10993.6116,9887.7156,9887.7156,9887.7156,9887.7156,10993.6116,20048.554,12036.87367,13240.56104,18847.1488,15647.93577,49654.60377,11774.88,60745.17639,13082.95765
338,Surgery,,,,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,2.909,6.6,8.2,20897.15058,20897.15058,19085.949,17166.009,17166.009,17166.009,17166.009,19085.949,34806.185,20897.15058,22986.86564,32720.432,27166.29575,75685.78482,19372.25931,98565.98012,21628.43077
339,Surgery,,,,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,1.7286,4.3,5.3,12417.60553,12417.60553,11341.3446,10200.4686,10200.4686,10200.4686,10200.4686,11341.3446,20682.699,12417.60553,13659.36609,19443.2928,16142.88719,51901.43247,11825.14259,63974.96155,13525.82886
340,Surgery,,,,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.2873,2.7,3.4,9247.474026,9247.474026,8445.9753,7596.3573,7596.3573,7596.3573,7596.3573,8445.9753,15402.5445,9247.474026,10172.22143,14479.5504,12021.71623,40559.30227,8264.169114,47062.95132,9943.662332
341,Surgery,,,,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,2.6673,5.8,7.5,19160.86963,19160.86963,17500.1553,15739.7373,15739.7373,15739.7373,15739.7373,17500.1553,31914.2445,19160.86963,21076.95659,30001.7904,24909.13051,83063.695,17102.995,86659.17192,19464.5749
342,Surgery,,,,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,1.6693,3.6,4.5,11991.61687,11991.61687,10952.2773,9850.5393,9850.5393,9850.5393,9850.5393,10952.2773,19973.1745,11991.61687,13190.77855,18776.2864,15589.10193,46617.935,10792.9575,58424.57376,11886.36089
343,Surgery,,,,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.1614,2.1,2.5,8343.056268,8343.056268,7619.9454,6853.4214,6853.4214,6853.4214,6853.4214,7619.9454,13896.151,8343.056268,9177.361895,13063.4272,10845.97315,37830.67294,7378.738824,45766.62232,8639.16631
344,Surgery,,,,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,3.141,7.8,9.9,22563.75042,22563.75042,20608.101,18535.041,18535.041,18535.041,18535.041,20608.101,37582.065,22563.75042,24820.12546,35329.968,29332.87555,76679.46,21217.5925,103950.828,24313.61095
345,Surgery,,,,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,1.7637,4.7,6.1,12669.75059,12669.75059,11571.6357,10407.5937,10407.5937,10407.5937,10407.5937,11571.6357,21102.6705,12669.75059,13936.72565,19838.0976,16470.67577,50428.384,11072.944,58586.98403,12766.12426
346,Surgery,,,,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.2739,3.1,3.7,9151.213518,9151.213518,8358.0579,7517.2839,7517.2839,7517.2839,7517.2839,8358.0579,15242.2135,9151.213518,10066.33487,14328.8272,11896.57757,34417.45185,7711.985185,47622.92641,8919.617566
347,Surgery,,,,ANAL & STOMAL PROCEDURES W MCC,3.0217,6.5,8.6,21706.74455,21706.74455,19825.3737,17831.0517,17831.0517,17831.0517,17831.0517,19825.3737,36154.6405,21706.74455,23877.41901,33988.0816,28218.76792,92778.49905,18413.3981,95259.9558,21748.68377
348,Surgery,,,,ANAL & STOMAL PROCEDURES W CC,1.529,3.8,4.8,10983.75498,10983.75498,10031.769,9022.629,9022.629,9022.629,9022.629,10031.769,18294.485,10983.75498,12082.13048,17198.192,14278.88147,44045.86,10796.48,53045.07451,11397.15609
349,Surgery,,,,ANAL & STOMAL PROCEDURES W/O CC/MCC,1.0254,2.2,2.7,7366.083948,7366.083948,6727.6494,6050.8854,6050.8854,6050.8854,6050.8854,6727.6494,12268.911,7366.083948,8102.692343,11533.6992,9575.909132,28097.24666,6398.556666,38469.81181,8431.989626
350,Surgery,,,,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,2.5678,5.7,7.3,18446.09944,18446.09944,16847.3358,15152.5878,15152.5878,15152.5878,15152.5878,16847.3358,30723.727,18446.09944,20290.70938,28882.6144,23979.92927,70041.76243,15677.1806,91237.74151,19881.64494
351,Surgery,,,,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,1.5155,3.4,4.2,10886.77611,10886.77611,9943.1955,8942.9655,8942.9655,8942.9655,8942.9655,9943.1955,18132.9575,10886.77611,11975.45372,17046.344,14152.80894,51618.70826,10260.90347,57812.70822,11848.09855
